AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Great Prairie AEA,Des Moines County,West Burlington Independent School District,West Burlington Junior High School,6937-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Keystone AEA,Fayette County,West Central Community School District,West Central Sr High School,6943-0172,High,"09, 10, 11, 12",2014-2015,High-Performing
Keystone AEA,Delaware County,West Delaware County Community School District,West Delaware Middle School,6950-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Keystone AEA,Delaware County,West Delaware County Community School District,Lambert Elementary School,6950-0427,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Heartland AEA,Polk County,West Des Moines Community School District,Stilwell Junior High School,6957-0236,Middle,"07, 08",2014-2015,High-Performing
Heartland AEA,Polk County,West Des Moines Community School District,Crestview Elementary School,6957-0427,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Cascade Elementary School,6961-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,High-Performing
Green Hills AEA,Harrison County,West Harrison Community School District,West Harrison High School,6969-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Marshall County,West Marshall Community School District,West Marshall Elementary School,6985-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Northwest AEA,Sioux County,West Sioux Community School District,Ireton Elementary School,6990-0418,Elementary,"KG,  01",2014-2015,Unable to Rate
Northwest AEA,Woodbury County,Westwood Community School District,Westwood Elementary School,6992-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Heartland AEA,Madison County,Winterset Community School District,Winterset Middle School,7056-0209,Elementary,"04, 05, 06",2014-2015,High-Performing
Green Hills AEA,Harrison County,Woodbine Community School District,Woodbine High School,7092-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger Middle School,7110-0409,Middle,"06, 07, 08",2014-2015,Commendable
Heartland AEA,Story County,Ballard Community School District,Ballard Community Senior High School,0472-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Wright County,Belmond-Klemme Community School District,Belmond-Klemme Alternative School,0594-0118,High,12,2014-2015,Unable to Rate
Grant Wood AEA,Benton County,Benton Community School District,Norway Elementary School,0609-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Great Prairie AEA,Wapello County,Eddyville-Blakesburg- Fremont Community School District,Eddyville-Blakesburg- Fremont Jr/Sr High,0657-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Poweshiek County,Brooklyn-Guernsey-Malcom Community School District,Brooklyn-Guernsey-Malcom Elementary School,0846-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,High-Performing
Green Hills AEA,Cass County,CAM Community School District,CAM High School,0914-0109,High,"09, 10, 11, 12",2014-2015,Commendable
AEA 267,Franklin County,CAL Community School District,CAL Elementary School,0916-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Mississippi Bend AEA,Clinton County,Calamus-Wheatland Community School District,Calamus-Wheatland Elem Attendance Center,0918-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Harrison Elementary School,1053-0490,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Priority
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Kenwood Elementary School,1053-0526,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Pierce Elementary School,1053-0569,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Taylor Elementary School,1053-0580,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Wright Elementary School,1053-0616,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Decatur County,Central Decatur Community School District,Central Decatur MS/Sr High School,1093-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Northwest AEA,Lyon County,Central Lyon Community School District,Central Lyon Senior High School,1095-0109,High,"09, 10, 11, 12",2014-2015,Exceptional
Great Prairie AEA,Lucas County,Chariton Community School District,Chariton High School,1107-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Great Prairie AEA,Lucas County,Chariton Community School District,Chariton Middle School,1107-0209,Middle,"06, 07, 08",2014-2015,Needs Improvement
AEA 267,Floyd County,Charles City Community School District,Carrie Lane High School,1116-0172,High,"11, 12",2014-2015,Unable to Rate
AEA 267,Floyd County,Charles City Community School District,Washington Elementary School,1116-0454,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Northwest AEA,Cherokee County,Cherokee Community School District,Roosevelt Elementary School,1152-0427,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Prairie Lakes AEA,Wright County,Clarion-Goldfield-Dows Community School District,Clarion-Goldfield-Dows High School,1206-0109,High,"09, 10, 11, 12",2014-2015,Priority
Green Hills AEA,Clarke County,Clarke Community School District,Clarke Community High School,1211-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Cerro Gordo County,Clear Lake Community School District,Clear Lake High School,1233-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Story County,Collins-Maxwell Community School District,Collins-Maxwell Middle/High School,1350-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Adams County,Corning Community School District,Corning Elementary School,1431-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Abraham Lincoln High School,1476-0118,High,"09, 10, 11, 12",2014-2015,Needs Improvement
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Carter Lake Elementary School,1476-0422,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Priority
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Lewis & Clark Elementary School,1476-0490,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Longfellow Elementary School,1476-0499,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Dallas County,Dallas Center-Grimes Community School District,DC-G Meadows,1576-0218,High,"08, 09",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Davenport Community School District,Central High School,1611-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Davenport Community School District,West High School,1611-0118,High,"09, 10, 11, 12",2014-2015,Needs Improvement
Mississippi Bend AEA,Scott County,Davenport Community School District,Wood Intermediate,1611-0205,Middle,"06, 07, 08",2014-2015,Needs Improvement
Mississippi Bend AEA,Scott County,Davenport Community School District,Sudlow Intermediate,1611-0218,Middle,"06, 07, 08",2014-2015,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Harrison Elementary School,1611-0454,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,JB Young Elementary,1611-0499,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Mississippi Bend AEA,Scott County,Davenport Community School District,Harry S Truman School,1611-0573,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Keystone AEA,Winneshiek County,Decorah Community School District,Carrie Lee Elementary,1638-0409,Elementary,"03, 04",2014-2015,Commendable
Mississippi Bend AEA,Clinton County,Delwood Community School District,Delwood Elementary School,1675-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,High-Performing
Heartland AEA,Polk County,Des Moines Independent Community School District,Brody Middle School,1737-0205,Middle,"06, 07, 08",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Hiatt Middle School,1737-0245,Middle,"06, 07, 08",2014-2015,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,Meredith Middle School,1737-0269,Middle,"06, 07, 08",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Carver Elementary,1737-0435,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Hanawalt Elementary,1737-0562,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Monroe Elementary School,1737-0715,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Willard Elementary School,1737-0904,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Ruby Van Meter School,1737-0988,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
AEA 267,Butler County,Dike-New Hartford Community School District,New Hartford Elementary School,1791-0418,Elementary,"KG,  01, 02, 05",2014-2015,Unable to Rate
Keystone AEA,Dubuque County,Dubuque Community School District,Hempstead High School,1863-0118,High,"09, 10, 11, 12",2014-2015,Acceptable
Keystone AEA,Dubuque County,Dubuque Community School District,Fulton Elementary School,1863-0472,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Crawford County,Boyer Valley Community School District,Boyer Valley Elementary School,1917-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Jackson County,Easton Valley Community School District,Easton Valley Elementary School,1965-0405,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Grant Wood AEA,Iowa County,English Valleys Community School District,English Valleys Jr-Sr High School,2097-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Emmet County,Estherville Lincoln Central Community School District,Demoney Elementary School,2124-0412,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Great Prairie AEA,Jefferson County,Fairfield Community School District,Fairfield High School,2169-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Great Prairie AEA,Jefferson County,Fairfield Community School District,Fairfield Middle School,2169-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
AEA 267,Hancock County,Garner-Hayfield Community School District,Garner Elementary School,2403-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Northwest AEA,Lyon County,George-Little Rock Community School District,George-Little Rock Senior High School,2457-0172,High,"09, 10, 11, 12",2014-2015,Commendable
Green Hills AEA,Mills County,Glenwood Community School District,Glenwood Senior High School,2511-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Prairie Lakes AEA,Palo Alto County,Graettinger-Terril Community School District,Graettinger-Terril Middle School,2556-0209,Middle,"06, 07, 08",2014-2015,Commendable
Keystone AEA,Clayton County,Clayton Ridge Community School District,Clayton Ridge Middle School,2763-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Grant Wood AEA,Iowa County,H-L-V Community School District,H-L-V Junior-Senior High School,2766-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Exceptional
AEA 267,Franklin County,Hampton-Dumont Community School District,Hampton-Dumont Middle School,2781-0209,Middle,"04, 05, 06, 07, 08",2014-2015,Commendable
Green Hills AEA,Shelby County,Harlan Community School District,Harlan Comm Intermediate School,2826-0427,Elementary,"03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Johnson County,Iowa City Community School District,North Central Junior High School,3141-0209,Middle,"07, 08",2014-2015,High-Performing
Grant Wood AEA,Johnson County,Iowa City Community School District,Penn Elementary School,3141-0447,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Grant Wood AEA,Johnson County,Iowa City Community School District,Grant Wood Elementary School,3141-0481,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Needs Improvement
Grant Wood AEA,Johnson County,Iowa City Community School District,Weber Elementary,3141-0488,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Needs Improvement
AEA 267,Bremer County,Janesville Consolidated School District,Janesville Elementary School,3186-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
AEA 267,Buchanan County,Jesup Community School District,Jesup High School,3204-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Polk County,Johnston Community School District,Johnston Senior High School,3231-0109,High,"10, 11, 12",2014-2015,Commendable
Northwest AEA,Plymouth County,Kingsley-Pierson Community School District,Kingsley-Pierson High School,3348-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Northwest AEA,Woodbury County,Kingsley-Pierson Community School District,Pierson Middle School,3348-0209,Middle,"06, 07, 08",2014-2015,Commendable
Heartland AEA,Marion County,Knoxville Community School District,West Elementary,3375-0445,Elementary,"KG,  01",2014-2015,Unable to Rate
Northwest AEA,Woodbury County,Lawton-Bronson Community School District,Bronson Elementary School,3555-0405,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Green Hills AEA,Pottawattamie County,Lewis Central Community School District,Lewis Central Senior High School,3645-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Grant Wood AEA,Cedar County,North Cedar Community School District,North Cedar High School,3691-0172,High,"09, 10, 11, 12",2014-2015,Needs Improvement
Grant Wood AEA,Linn County,Linn-Mar Community School District,Novak Elementary School,3715-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Lisbon Community School District,Lisbon High School,3744-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Grant Wood AEA,Linn County,Lisbon Community School District,Lisbon Middle School,3744-0209,Middle,"07, 08, 09",2014-2015,Commendable
Green Hills AEA,Harrison County,Logan-Magnolia Community School District,Logan-Magnolia Jr-Sr High School,3798-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Northwest AEA,Monona County,Maple Valley-Anthon Oto Community School District,Maple Valley-Anthon Oto High School,4033-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Keystone AEA,Delaware County,Maquoketa Valley Community School District,Earlville Elementary School,4043-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Unable to Rate
Keystone AEA,Delaware County,Maquoketa Valley Community School District,Johnston Elementary School,4043-0427,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
Grant Wood AEA,Linn County,Marion Independent School District,Starry Elementary School,4086-0445,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
AEA 267,Marshall County,Marshalltown Community School District,Anson Elementary School,4104-0427,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Heartland AEA,Warren County,Martensdale-St Marys Community School District,Martensdale Elementary School,4122-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
AEA 267,Cerro Gordo County,Mason City Community School District,Alternative School,4131-0127,High,"10, 11, 12",2014-2015,Unable to Rate
AEA 267,Cerro Gordo County,Mason City Community School District,Harding Elementary School,4131-0427,Elementary,"KG,  01, 02, 03, 04",2014-2015,Needs Improvement
AEA 267,Cerro Gordo County,Mason City Community School District,Lincoln Intermediate,4131-0454,Elementary,"05, 06",2014-2015,Acceptable
Grant Wood AEA,Washington County,Mid-Prairie Community School District,Alterntive Learning Cent,4271-0118,High,"11, 12",2014-2015,Unable to Rate
Great Prairie AEA,Henry County,Mount Pleasant Community School District,Harlan Elementary School,4536-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Jefferson Elementary School,4581-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Washington Elementary School,4581-0463,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Prairie Lakes AEA,Hamilton County,Northeast Hamilton Community School District,Northeast Hamilton High School,4775-0109,High,"09, 10, 11, 12",2014-2015,Unable to Rate
Prairie Lakes AEA,Kossuth County,North Kossuth Community School District,North Kossuth Elementary School,4778-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Scott County,North Scott Community School District,Virgil Grissom Elementary School,4784-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Keystone AEA,Fayette County,Oelwein Community School District,Wings Park Elementary School,4869-0407,Elementary,"02, 03, 04, 05",2014-2015,Commendable
Great Prairie AEA,Wapello County,Ottumwa Community School District,Ottumwa High School,5049-0109,High,"09, 10, 11, 12",2014-2015,Needs Improvement
Heartland AEA,Guthrie County,Panorama Community School District,Panorama High School,5121-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Guthrie County,Panorama Community School District,Panorama Middle School,5121-0209,Middle,"06, 07, 08",2014-2015,High-Performing
Great Prairie AEA,Jefferson County,Pekin Community School District,Pekin Community High School,5163-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Marion County,Pella Community School District,Pella High School,5166-0109,High,"09, 10, 11, 12",2014-2015,Exceptional
Heartland AEA,Marion County,Pella Community School District,Pella Middle School,5166-0209,Middle,"07, 08",2014-2015,High-Performing
Heartland AEA,Dallas County,Perry Community School District,Perry Elementary,5184-0412,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Bridgeview Elementary School,5250-0403,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,High-Performing
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Riverdale Heights Elem School,5250-0411,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,High-Performing
Heartland AEA,Marion County,Pleasantville Community School District,Pleasantville High School,5256-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Marion County,Pleasantville Community School District,Pleasantville Middle School,5256-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Green Hills AEA,Montgomery County,Red Oak Community School District,Red Oak Middle School,5463-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Heartland AEA,Polk County,Saydel Community School District,Woodside Middle School,5805-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Northwest AEA,Crawford County,Schleswig Community School District,Schleswig Elementary School,5832-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,High-Performing
Green Hills AEA,Freemont County,Sidney Community School District,Sidney High School,6003-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,High-Performing
Northwest AEA,Sioux County,Sioux Center Community School District,Sioux Center Middle School,6030-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Northwest AEA,Woodbury County,Sioux City Community School District,North Middle School,6039-0220,Middle,"06, 07, 08",2014-2015,Commendable
Northwest AEA,Woodbury County,Sioux City Community School District,West Middle School,6039-0227,Middle,"03, 04, 06, 07, 08, 09, 12",2014-2015,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,Crescent Park Elementary School,6039-0445,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Exceptional
Northwest AEA,Woodbury County,Sioux City Community School District,Hunt Elementary School,6039-0517,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Grant Wood AEA,Johnson County,Solon Community School District,Solon High School,6093-0172,High,"09, 10, 11, 12",2014-2015,Commendable
Grant Wood AEA,Johnson County,Solon Community School District,Lakeview Elementary,6093-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Heartland AEA,Warren County,Southeast Warren Community School District,Southeast Warren Jr-Sr High School,6094-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Warren County,Southeast Warren Community School District,Southeast Warren Primary,6094-0418,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
Northwest AEA,O'Brien County,South O'Brien Community School District,South O'Brien Elem Sch Primghar Center,6099-0424,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Heartland AEA,Polk County,Southeast Polk Community School District,Southeast Polk High School,6101-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Heartland AEA,Polk County,Southeast Polk Community School District,Mitchellville Elementary School,6101-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Exceptional
Heartland AEA,Polk County,Southeast Polk Community School District,Willowbrook Elementary School,6101-0445,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Dallas County,West Central Valley Community School District,Dexter Elementary School,6264-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Cedar County,Tipton Community School District,Tipton Middle School,6408-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Green Hills AEA,Pottawattamie County,Treynor Community School District,Treynor Middle School,6453-0209,Middle,"06, 07, 08",2014-2015,Unable to Rate
Prairie Lakes AEA,Humboldt County,Twin Rivers Community School District,Twin Rivers Elementary School,6516-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
AEA 267,Tama County,Union Community School District,Dysart-Geneseo Elementary School,6536-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Boone County,United Community School District,United Community North,6561-0427,Elementary,"KG,  01",2014-2015,Unable to Rate
Heartland AEA,Polk County,Urbandale Community School District,Olmsted Elementary School,6579-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Prairie Lakes AEA,Sac County,East Sac County Community School District,East Sac County Middle School,6741-0218,Middle,"05, 06, 07, 08",2014-2015,Commendable
Green Hills AEA,Pottawattamie County,Walnut Community School District,Walnut Elementary School,6750-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Unable to Rate
AEA 267,Black Hawk County,Waterloo Community School District,Lou Henry Elementary School,6795-0550,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Dallas County,Waukee Community School District,Vince Meyer Learning Ctr,6822-0405,Elementary,05,2014-2015,Unable to Rate
Heartland AEA,Dallas County,Waukee Community School District,Walnut Hills Elementary,6822-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Prairie Lakes AEA,Palo Alto County,West Bend-Mallard Community School District,West Bend-Mallard Middle School,6921-0405,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Great Prairie AEA,Des Moines County,West Burlington Independent School District,West Burlington Elem School,6937-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Bernard Elementary School,6961-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Unable to Rate
Northwest AEA,Monona County,West Monona Community School District,West Monona High School,6987-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Grant Wood AEA,Iowa County,Williamsburg Community School District,Mary Welsh Elementary,7029-0200,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger Elementary School,7110-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
AEA 267,Hardin County,AGWSR Community School District,AGWSR Elementary School,0009-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Northwest AEA,Plymouth County,Akron Westfield Community School District,Akron Westfield Senior High School,0063-0172,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Butler County,North Butler Community School District,North Butler Elementary  Greene Building,0153-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,High-Performing
Heartland AEA,Polk County,Ankeny Community School District,Northwest Elementary School,0261-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Polk County,Ankeny Community School District,Terrace Elementary School,0261-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Prairie Lakes AEA,Emmet County,North Union Community School District,North Union High School,0333-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Green Hills AEA,Cass County,Atlantic Community School District,Atlantic Middle School,0387-0209,Middle,"06, 07, 08",2014-2015,High-Performing
Heartland AEA,Story County,Ballard Community School District,Ballard Community Middle School,0472-0209,Middle,"06, 07, 08",2014-2015,Commendable
AEA 267,Grundy County,BCLUW Community School District,BCLUW High School,0540-0172,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Wright County,Belmond-Klemme Community School District,Richard O. Jacobson Elementary School,0594-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Grant Wood AEA,Benton County,Benton Community School District,Benton Community Middle School,0609-0209,Middle,"07, 08",2014-2015,Commendable
Grant Wood AEA,Benton County,Benton Community School District,Van Horne Elementary School,0609-0427,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Heartland AEA,Boone County,Boone Community School District,Boone Middle School,0729-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Mississippi Bend AEA,Clinton County,Camanche Community School District,Camanche Middle School,0936-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Heartland AEA,Warren County,Carlisle Community School District,Carlisle Elementary School,0981-0409,Elementary,"KG,  01, 02, 03",2014-2015,Needs Improvement
Heartland AEA,Carroll County,Carroll Community School District,Fairview Elementary School,0999-0409,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Grant Wood AEA,Linn County,Cedar Rapids Community School District,George Washington High School,1053-0118,High,"09, 10, 11, 12",2014-2015,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Franklin Middle School,1053-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Harding Middle School,1053-0214,Middle,"06, 07, 08",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Wilson Middle School,1053-0236,Middle,"06, 07, 08",2014-2015,Priority
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Nixon Elementary School,1053-0558,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Viola Gibson Elementary  School,1053-0636,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Linn County,Center Point-Urbana Community School District,Center Point-Urbana Primary School,1062-0409,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Great Prairie AEA,Appanoose County,Centerville Community School District,Lakeview Elementary,1071-0412,Elementary,"03, 04, 05, 06",2014-2015,Acceptable
Keystone AEA,Clayton County,Central Community School District,Central Community Jr-Sr High School,1080-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Commendable
Mississippi Bend AEA,Clinton County,Central DeWitt School District,Central High School,1082-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Mississippi Bend AEA,Clinton County,Central DeWitt School District,Ekstrand Elementary School,1082-0431,Elementary,"KG,  01, 02, 03",2014-2015,Acceptable
Great Prairie AEA,Lucas County,Chariton Community School District,Van Allen Elementary School,1107-0439,Elementary,"03, 04, 05",2014-2015,Acceptable
Northwest AEA,Monona County,Charter Oak-Ute Community School District,Charter Oak-Ute Elementary School,1134-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Johnson County,Clear Creek Amana Community School District,Clear Creek Amana High School,1221-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Heartland AEA,Jasper County,Colfax-Mingo Community School District,Colfax-Mingo High School,1332-0118,High,"07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
Grant Wood AEA,Linn County,College Community School District,Prairie Creek,1337-0409,Middle,"05, 06",2014-2015,Acceptable
