AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
AEA 267,Black Hawk County,Cedar Falls Community School District,Cedar Heights Elementary School,1044-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Roosevelt Middle School,1053-0227,Middle,"06, 07, 08",2014-2015,Needs Improvement
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Garfield Elementary School,1053-0463,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Grant Wood Elementary School,1053-0481,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Grant Elementary School,1053-0610,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Center Point-Urbana Community School District,Center Point-Urbana High School,1062-0172,High,"09, 10, 11, 12",2014-2015,Commendable
Mississippi Bend AEA,Clinton County,Central DeWitt School District,Central Intermediate School,1082-0409,Elementary,"04, 05, 06",2014-2015,Commendable
Grant Wood AEA,Linn County,Central City Community School District,Central City High School,1089-0109,High,"09, 10, 11, 12",2014-2015,High-Performing
Grant Wood AEA,Linn County,Central City Community School District,Central City Junior High,1089-0418,Middle,"07, 08",2014-2015,Acceptable
Green Hills AEA,Page County,Clarinda Community School District,Clarinda High School,1197-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Page County,Clarinda Community School District,Garfield Elementary  School,1197-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Needs Improvement
Prairie Lakes AEA,Clay County,Clay Central-Everly Community School District,Clay Central-Everly JR. SR. High School,1218-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Needs Improvement
Mississippi Bend AEA,Clinton County,Clinton Community School District,Jefferson Elementary School,1278-0472,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Clinton County,Clinton Community School District,Eagle Heights Elementary School,1278-0480,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Linn County,College Community School District,Prairie High School,1337-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Grant Wood AEA,Linn County,College Community School District,Prairie View Elementary School,1337-0431,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
Heartland AEA,Carroll County,Coon Rapids-Bayard Community School District,CR-B Elementary School,1413-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Unable to Rate
Heartland AEA,Dallas County,Dallas Center-Grimes Community School District,Dallas Center-Grimes High School,1576-0109,High,"10, 11, 12",2014-2015,Commendable
Heartland AEA,Polk County,Dallas Center-Grimes Community School District,South Prairie Elementary,1576-0427,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Mississippi Bend AEA,Scott County,Davenport Community School District,Buffalo Elementary School,1611-0415,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Davenport Community School District,Garfield Elementary School,1611-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Jefferson Elementary School,1611-0481,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Priority
Mississippi Bend AEA,Scott County,Davenport Community School District,Wilson Elementary School,1611-0589,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Great Prairie AEA,Davis County,Davis County Community School District,Flex Ed High School,1619-0172,High,"11, 12",2014-2015,Unable to Rate
