Year,County,AEA,District,District Name,Diploma Count,Private 4-Year,Public 4-Year,Community College,Private 2-Year,Other Training,Employment,Homemaker,Military,Unknown
2017-2018,42,07,0009,AGWSR,43,7,9,14,0,1,4,0,1,7
2017-2018,39,11,0018,Adair-Casey,,,,,,,,,,
2017-2018,25,11,0027,Adel DeSoto Minburn,122,27,39,34,0,4,8,0,5,5
2017-2018,75,12,0063,Akron Westfield,40,1,14,17,0,2,6,0,0,0
2017-2018,11,05,0072,Albert City-Truesdale,,,,,,,,,,
2017-2018,68,15,0081,Albia,75,6,22,33,0,1,7,0,3,3
2017-2018,57,10,0099,Alburnett,46,2,14,22,0,0,8,0,0,0
2017-2018,42,07,0108,Alden,,,,,,,,,,
2017-2018,55,05,0126,Algona,101,6,34,43,0,2,12,0,4,0
2017-2018,03,01,0135,Allamakee,80,11,17,30,0,2,19,0,1,0
2017-2018,12,07,0153,North Butler,38,3,4,18,0,5,5,0,3,0
2017-2018,11,05,0171,Alta,48,13,15,10,0,0,3,0,2,5
2017-2018,85,11,0225,Ames,305,35,137,79,0,5,32,0,4,13
2017-2018,53,10,0234,Anamosa,103,17,17,37,0,1,12,0,7,12
2017-2018,49,09,0243,Andrew,,,,,,,,,,
2017-2018,77,11,0261,Ankeny,684,81,299,229,2,9,45,0,9,10
2017-2018,12,07,0279,Aplington-Parkersburg,70,7,19,29,0,2,5,0,1,7
2017-2018,32,05,0333,North Union,48,2,14,18,1,0,13,0,0,0
2017-2018,24,12,0355,Ar-We-Va,14,0,5,4,0,1,2,0,2,0
2017-2018,15,13,0387,Atlantic,112,10,40,27,0,3,23,1,5,3
2017-2018,05,11,0414,Audubon,29,8,8,10,0,0,3,0,0,0
2017-2018,18,12,0423,Aurelia,,,,,,,,,,
2017-2018,78,13,0441,AHSTW,69,5,26,20,1,0,15,0,2,0
2017-2018,85,11,0472,Ballard,135,9,40,35,0,3,4,0,0,44
2017-2018,47,12,0504,Battle Creek-Ida Grove,64,8,12,27,0,0,12,1,2,2
2017-2018,50,11,0513,Baxter,31,4,6,12,0,1,4,0,2,2
2017-2018,38,07,0540,BCLUW,49,3,11,24,0,2,7,0,1,1
2017-2018,87,13,0549,Bedford,24,0,8,12,0,0,2,0,0,2
2017-2018,06,10,0576,Belle Plaine,38,6,8,14,0,0,7,0,3,0
2017-2018,49,09,0585,Bellevue,45,13,8,16,0,1,5,0,2,0
2017-2018,99,07,0594,Belmond-Klemme,50,0,9,23,1,4,2,0,3,8
2017-2018,16,09,0603,Bennett,,,,,,,,,,
2017-2018,06,10,0609,Benton,107,14,37,42,0,0,14,0,0,0
2017-2018,82,09,0621,Bettendorf,347,45,108,106,1,18,31,1,18,19
2017-2018,90,15,0657,Eddyville-Blakesburg-,51,9,11,20,0,2,7,0,0,2
2017-2018,77,11,0720,Bondurant-Farrar,126,11,33,57,0,6,14,0,1,4
2017-2018,08,11,0729,Boone,190,20,39,64,0,3,27,1,8,28
2017-2018,84,12,0747,Boyden-Hull,44,11,13,7,1,0,8,0,4,0
2017-2018,41,07,0819,West Hancock,35,6,3,16,0,3,5,0,2,0
2017-2018,79,07,0846,Brooklyn-Guernsey-Malcom,40,5,5,20,0,1,0,0,4,5
2017-2018,95,07,0873,North Iowa,28,4,4,12,0,0,5,0,0,3
2017-2018,29,15,0882,Burlington,237,18,21,116,4,17,29,0,5,27
2017-2018,15,13,0914,CAM,86,9,13,38,2,2,22,0,0,0
2017-2018,35,07,0916,CAL,21,1,1,14,0,2,3,0,0,0
2017-2018,23,09,0918,Calamus-Wheatland,34,5,5,15,1,3,4,0,1,0
2017-2018,23,09,0936,Camanche,78,8,11,33,0,6,13,0,6,1
2017-2018,90,15,0977,Cardinal,49,3,4,26,0,0,9,0,0,7
2017-2018,91,11,0981,Carlisle,151,25,43,48,1,0,17,0,9,8
2017-2018,14,11,0999,Carroll,123,8,36,51,1,4,18,0,3,2
2017-2018,07,07,1044,Cedar Falls,344,35,160,97,1,1,28,0,10,12
2017-2018,57,10,1053,Cedar Rapids,"1,043",142,232,394,1,48,103,2,39,82
2017-2018,57,10,1062,Center Point-Urbana,112,11,27,49,0,4,9,0,7,5
2017-2018,04,15,1071,Centerville,94,6,10,45,0,3,2,0,2,26
2017-2018,56,15,1079,Central Lee,89,0,18,42,0,0,20,0,8,1
2017-2018,22,01,1080,Central,37,4,6,18,0,0,9,0,0,0
2017-2018,23,09,1082,Central DeWitt,117,18,22,48,1,2,12,0,4,10
2017-2018,57,10,1089,Central City,31,4,8,12,0,0,6,0,1,0
2017-2018,27,13,1093,Central Decatur,43,6,4,21,1,3,8,0,0,0
2017-2018,60,12,1095,Central Lyon,38,3,16,6,0,1,11,0,1,0
2017-2018,59,15,1107,Chariton,81,13,8,43,0,6,9,0,2,0
2017-2018,34,07,1116,Charles City,113,16,31,43,0,3,7,0,2,11
2017-2018,24,12,1134,Charter Oak-Ute,,,,,,,,,,
2017-2018,18,12,1152,Cherokee,73,10,12,37,0,1,8,0,4,1
2017-2018,73,13,1197,Clarinda,77,0,41,14,0,1,14,0,3,4
2017-2018,99,05,1206,Clarion-Goldfield-Dows,71,7,15,36,0,3,4,0,0,6
2017-2018,20,13,1211,Clarke,95,0,34,28,0,7,19,0,4,3
2017-2018,12,07,1215,Clarksville,20,2,3,6,0,1,5,0,0,3
2017-2018,21,05,1218,Clay Central-Everly,21,1,5,11,2,0,1,0,1,0
2017-2018,52,10,1221,Clear Creek Amana,132,9,28,52,0,4,26,0,8,5
2017-2018,17,07,1233,Clear Lake,103,7,29,53,0,1,7,0,6,0
2017-2018,23,09,1278,Clinton,192,15,29,83,2,15,42,0,6,0
2017-2018,50,11,1332,Colfax-Mingo,40,7,9,12,1,1,9,0,1,0
2017-2018,57,10,1337,College,370,51,127,114,2,10,19,0,12,35
2017-2018,85,11,1350,Collins-Maxwell,36,3,6,9,0,2,0,0,1,15
2017-2018,85,11,1359,Colo-NESCO,30,6,4,10,0,0,6,0,0,4
2017-2018,58,09,1368,Columbus,51,2,7,29,1,3,6,0,1,2
2017-2018,14,11,1413,Coon Rapids-Bayard,30,2,6,17,1,0,1,0,1,2
2017-2018,02,13,1431,Corning,46,3,5,25,0,0,9,0,2,2
2017-2018,78,13,1476,Council Bluffs,575,33,115,205,3,6,31,2,23,157
2017-2018,88,13,1503,Creston,113,9,24,58,0,0,18,0,3,1
2017-2018,25,11,1576,Dallas Center-Grimes,196,21,81,66,0,1,24,0,3,0
2017-2018,29,15,1602,Danville,39,7,7,16,0,0,6,0,2,1
2017-2018,82,09,1611,Davenport,966,80,193,324,12,51,133,2,35,136
2017-2018,26,15,1619,Davis County,70,8,10,34,1,5,7,0,5,0
2017-2018,96,01,1638,Decorah Community,130,28,50,34,0,0,12,0,4,2
2017-2018,23,09,1675,Delwood,,,,,,,,,,
2017-2018,24,12,1701,Denison,185,12,40,75,0,2,33,0,4,19
2017-2018,09,07,1719,Denver,51,12,23,15,0,0,1,0,0,0
2017-2018,77,11,1737,Des Moines Independent,"1,997",234,437,597,21,54,177,2,52,423
2017-2018,80,13,1782,Diagonal,7,0,2,4,0,1,0,0,0,0
2017-2018,38,07,1791,Dike-New Hartford,57,5,14,22,0,2,7,0,3,4
2017-2018,31,01,1863,Dubuque,738,138,199,230,0,31,118,0,20,2
2017-2018,07,07,1908,Dunkerton,36,2,9,24,0,0,1,0,0,0
2017-2018,43,13,1917,Boyer Valley,41,3,10,16,0,0,5,0,3,4
2017-2018,16,09,1926,Durant,41,5,8,22,1,0,3,0,2,0
2017-2018,99,05,1944,Eagle Grove,46,2,4,23,0,0,7,0,3,7
2017-2018,61,11,1953,Earlham,56,4,12,22,0,3,13,0,1,1
2017-2018,10,07,1963,East Buchanan,49,6,16,17,0,1,5,0,3,1
2017-2018,49,09,1965,Easton Valley,36,0,8,14,0,0,11,0,3,0
2017-2018,64,07,1968,East Marshall,68,8,23,27,0,2,3,0,1,4
2017-2018,88,13,1970,East Union,29,2,7,14,0,1,3,0,1,1
2017-2018,03,01,1972,Eastern Allamakee,23,4,3,7,0,1,7,0,1,0
2017-2018,97,12,1975,River Valley,28,4,7,13,1,0,1,0,2,0
2017-2018,28,01,1989,Edgewood-Colesburg,37,7,2,10,0,1,15,0,1,1
2017-2018,42,07,2007,Eldora-New Providence,60,3,6,25,1,5,11,0,7,2
2017-2018,74,05,2088,Emmetsburg,58,6,15,25,0,2,8,0,2,0
2017-2018,48,10,2097,English Valleys,25,3,4,11,0,0,5,0,2,0
2017-2018,73,13,2113,Essex,19,2,3,4,0,3,7,0,0,0
2017-2018,32,05,2124,Estherville Lincoln,92,4,14,50,0,1,17,0,1,5
2017-2018,83,11,2151,Exira-Elk Horn-,26,5,2,14,0,0,4,0,1,0
2017-2018,51,15,2169,Fairfield,107,17,23,33,1,0,3,0,2,28
2017-2018,95,07,2295,Forest City,102,13,25,41,0,1,16,0,1,5
2017-2018,94,05,2313,Fort Dodge,254,12,48,128,2,3,50,0,9,2
2017-2018,56,15,2322,Fort Madison,126,11,19,52,0,4,29,0,3,8
2017-2018,36,13,2369,Fremont-Mills,25,2,4,11,0,3,3,0,1,1
2017-2018,47,12,2376,Galva-Holstein,54,7,15,15,1,0,13,0,2,1
2017-2018,41,07,2403,Garner-Hayfield-Ventura,90,8,21,54,0,2,5,0,0,0
2017-2018,60,12,2457,George-Little Rock,34,2,10,12,2,0,7,1,0,0
2017-2018,85,11,2466,Gilbert,105,10,65,24,0,0,6,0,0,0
2017-2018,46,05,2493,Gilmore City-Bradgate,,,,,,,,,,
2017-2018,38,07,2502,Gladbrook-Reinbeck,44,7,7,21,0,1,6,0,2,0
2017-2018,65,13,2511,Glenwood,130,18,53,37,0,1,10,0,1,10
2017-2018,14,11,2520,Glidden-Ralston,18,3,2,8,0,0,1,0,0,4
2017-2018,74,05,2556,Graettinger-Terril,15,2,6,7,0,0,0,0,0,0
2017-2018,01,13,2673,Nodaway Valley,32,2,5,17,0,3,3,0,1,1
2017-2018,86,07,2682,GMG,32,2,6,10,0,0,8,0,4,2
2017-2018,79,07,2709,Grinnell-Newburg,111,31,27,34,1,6,11,0,0,1
2017-2018,15,13,2718,Griswold,44,5,12,16,0,2,3,0,5,1
2017-2018,38,07,2727,Grundy Center,49,6,16,14,0,2,3,0,0,8
2017-2018,39,11,2754,Guthrie Center,55,5,16,20,1,1,10,0,2,0
2017-2018,22,01,2763,Clayton Ridge,83,11,18,28,0,1,21,0,3,1
2017-2018,48,10,2766,H-L-V,20,3,3,9,0,0,1,0,4,0
2017-2018,48,13,2772,Hamburg,,,,,,,,,,
2017-2018,35,07,2781,Hampton-Dumont,69,8,15,30,0,0,9,0,1,6
2017-2018,83,13,2826,Harlan,139,11,48,54,0,1,14,0,6,5
2017-2018,89,15,2834,Harmony,,,,,,,,,,
2017-2018,30,05,2846,Harris-Lake Park,19,1,4,6,0,0,5,0,3,0
2017-2018,71,12,2862,Hartley-Melvin-Sanborn,35,8,3,13,0,0,9,0,1,1
2017-2018,92,10,2977,Highland,42,5,10,17,0,1,6,0,0,3
2017-2018,75,12,2988,Hinton,50,9,15,15,1,1,8,0,1,0
2017-2018,45,01,3029,Howard-Winneshiek,94,12,20,42,0,0,17,0,0,3
2017-2018,42,07,3033,Hubbard-Radcliffe,1,0,0,0,0,0,0,0,0,1
2017-2018,07,07,3042,Hudson,43,4,20,14,0,2,1,0,1,1
2017-2018,46,05,3060,Humboldt,103,11,26,43,0,5,8,0,5,5
2017-2018,10,07,3105,Independence,109,14,30,35,0,3,15,0,3,9
2017-2018,91,11,3114,Indianola,262,36,75,86,0,5,52,1,5,2
2017-2018,61,11,3119,Interstate 35,68,14,9,26,0,2,7,0,3,7
2017-2018,52,10,3141,Iowa City,952,132,368,265,1,22,44,1,7,112
2017-2018,42,07,3150,Iowa Falls,92,8,18,44,2,0,14,0,1,5
2017-2018,48,10,3154,Iowa Valley,31,9,4,16,0,0,2,0,0,0
2017-2018,14,13,3168,IKM-Manning,44,5,12,17,0,3,3,0,3,1
2017-2018,09,07,3186,Janesville Consolidated,29,8,2,16,0,0,1,0,0,2
2017-2018,37,05,3195,Greene County,98,14,22,43,0,4,12,0,3,0
2017-2018,10,07,3204,Jesup,46,5,10,18,0,2,7,0,3,1
2017-2018,77,11,3231,Johnston,507,56,242,128,0,9,44,0,9,19
2017-2018,56,15,3312,Keokuk,132,10,13,62,1,4,22,1,6,13
2017-2018,54,15,3330,Keota,21,0,6,11,0,0,2,0,2,0
2017-2018,75,12,3348,Kingsley-Pierson,40,8,14,11,2,0,5,0,0,0
2017-2018,63,11,3375,Knoxville,116,19,33,39,0,1,23,0,0,1
2017-2018,95,07,3420,Lake Mills,52,6,9,28,0,1,7,0,0,1
2017-2018,27,13,3465,Lamoni,26,6,2,10,2,1,1,0,0,4
2017-2018,76,05,3537,Laurens-Marathon,,,,,,,,,,
2017-2018,97,12,3555,Lawton-Bronson,39,11,16,7,0,1,3,0,1,0
2017-2018,75,12,3600,Le Mars,154,13,61,54,0,0,11,0,2,13
2017-2018,87,13,3609,Lenox,40,2,6,16,0,0,7,0,1,8
2017-2018,78,13,3645,Lewis Central,220,25,72,67,0,1,9,0,2,44
2017-2018,16,10,3691,North Cedar,56,12,11,19,0,4,9,0,0,1
2017-2018,57,10,3715,Linn-Mar,533,70,213,167,0,12,6,0,11,54
2017-2018,57,10,3744,Lisbon,44,4,19,15,0,0,4,0,2,0
2017-2018,43,13,3798,Logan-Magnolia,60,10,14,18,1,0,13,0,4,0
2017-2018,52,10,3816,Lone Tree,29,1,9,11,0,1,2,0,0,5
2017-2018,58,09,3841,Louisa-Muscatine,61,0,13,37,4,1,5,0,1,0
2017-2018,55,05,3897,LuVerne,,,,,,,,,,
2017-2018,50,11,3906,Lynnville-Sully,38,4,7,14,0,1,10,0,0,2
2017-2018,08,11,3942,Madrid,52,5,17,17,0,2,5,0,2,4
2017-2018,65,13,3978,East Mills,24,0,4,10,0,0,6,0,0,4
2017-2018,13,05,4023,Manson Northwest Webster,51,2,8,28,1,1,8,0,2,1
2017-2018,67,12,4033,Maple Valley-Anthon Oto,53,3,17,23,0,2,7,0,1,0
2017-2018,49,09,4041,Maquoketa,101,14,27,24,1,5,16,0,6,8
2017-2018,28,01,4043,Maquoketa Valley,51,4,16,16,4,0,10,0,1,0
2017-2018,18,12,4068,Marcus-Meriden-Cleghorn,43,4,18,12,0,0,6,0,2,1
2017-2018,57,10,4086,Marion Independent,168,23,45,68,0,10,14,0,8,0
2017-2018,64,07,4104,Marshalltown,351,19,89,148,5,9,26,1,5,49
2017-2018,91,11,4122,Martensdale-St Marys,47,5,10,20,0,3,6,0,3,0
2017-2018,17,07,4131,Mason City,248,14,54,126,0,5,34,0,2,13
2017-2018,84,12,4149,MOC-Floyd Valley,95,20,36,20,1,1,13,0,0,4
2017-2018,29,15,4203,Mediapolis,56,2,15,30,0,1,6,0,1,1
2017-2018,63,11,4212,Melcher-Dallas,18,4,1,6,2,1,4,0,0,0
2017-2018,53,10,4269,Midland,31,5,0,6,0,0,12,1,2,5
2017-2018,92,10,4271,Mid-Prairie,87,16,14,30,0,1,24,0,1,1
2017-2018,43,13,4356,Missouri Valley,69,8,19,27,0,2,9,0,1,3
2017-2018,22,01,4419,MFL MarMac,47,3,9,17,0,2,12,0,3,1
2017-2018,79,07,4437,Montezuma,36,8,8,10,2,5,1,0,2,0
2017-2018,53,10,4446,Monticello,87,17,22,26,0,0,9,0,2,11
2017-2018,04,15,4491,Moravia,22,7,2,12,1,0,0,0,0,0
2017-2018,93,13,4505,Mormon Trail,11,2,0,3,1,0,5,0,0,0
2017-2018,58,15,4509,Morning Sun,,,,,,,,,,
2017-2018,04,15,4518,Moulton-Udell,10,1,0,5,0,2,1,1,0,0
2017-2018,80,13,4527,Mount Ayr,47,6,13,14,3,1,9,0,0,1
2017-2018,44,15,4536,Mount Pleasant,141,10,39,56,0,3,12,0,5,16
2017-2018,57,10,4554,Mount Vernon,99,29,32,27,0,0,7,0,0,4
2017-2018,20,13,4572,Murray,20,0,3,12,0,4,0,0,1,0
2017-2018,70,09,4581,Muscatine,314,20,64,136,3,6,23,0,5,57
2017-2018,19,07,4599,Nashua-Plainfield,52,7,9,23,0,0,10,0,3,0
2017-2018,85,11,4617,Nevada,119,5,36,36,0,6,23,0,6,7
2017-2018,11,05,4644,Newell-Fonda,46,9,12,15,1,0,5,0,2,2
2017-2018,19,01,4662,New Hampton,85,5,27,38,1,0,10,0,3,1
2017-2018,44,15,4689,New London,,,,,,,,,,
2017-2018,50,11,4725,Newton,219,19,45,95,0,5,49,1,4,1
2017-2018,98,07,4772,Central Springs,55,5,7,35,0,2,3,0,3,0
2017-2018,23,09,4773,Northeast,77,16,11,36,1,1,9,0,2,1
2017-2018,33,01,4774,North Fayette,83,19,16,35,0,2,8,0,2,1
2017-2018,40,05,4775,Northeast Hamilton,,,,,,,,,,
2017-2018,62,15,4776,North Mahaska,44,1,11,8,0,0,9,0,0,15
2017-2018,57,10,4777,North Linn,42,11,8,13,0,1,8,0,1,0
2017-2018,55,05,4778,North Kossuth,,,,,,,,,,
2017-2018,77,11,4779,North Polk,105,18,43,30,0,1,13,0,0,0
2017-2018,82,09,4784,North Scott,239,36,65,103,0,8,12,1,6,8
2017-2018,86,07,4785,North Tama County,33,2,7,20,0,0,3,0,1,0
2017-2018,96,01,4787,North Winneshiek,,,,,,,,,,
2017-2018,98,07,4788,Northwood-Kensett,43,0,12,24,0,1,6,0,0,0
2017-2018,91,11,4797,Norwalk,196,38,52,66,5,9,18,0,8,0
2017-2018,81,05,4860,Odebolt-Arthur,,,,,,,,,,
2017-2018,33,01,4869,Oelwein,66,4,9,25,0,3,7,0,0,18
2017-2018,08,11,4878,Ogden,53,7,18,15,0,0,10,0,1,2
2017-2018,30,05,4890,Okoboji,54,7,13,20,0,3,8,0,2,1
2017-2018,53,10,4905,Olin Consolidated,,,,,,,,,,
2017-2018,01,13,4978,Orient-Macksburg,11,1,2,3,0,0,5,0,0,0
2017-2018,66,07,4995,Osage,76,8,24,31,1,0,10,0,2,0
2017-2018,62,15,5013,Oskaloosa,157,32,26,47,0,10,29,0,3,10
2017-2018,90,15,5049,Ottumwa,301,28,42,105,0,2,10,0,5,109
2017-2018,39,11,5121,Panorama,60,5,17,21,1,1,13,0,0,2
2017-2018,37,05,5139,Paton-Churdan,11,0,1,9,0,0,1,0,0,0
2017-2018,50,11,5160,PCM,66,6,19,24,0,2,2,0,2,11
2017-2018,54,15,5163,Pekin,59,12,5,33,0,0,6,0,2,1
2017-2018,63,11,5166,Pella,157,21,70,34,2,4,20,0,2,4
2017-2018,25,11,5184,Perry,160,12,36,61,1,5,18,2,6,19
2017-2018,82,09,5250,Pleasant Valley,373,73,171,81,0,10,21,0,11,6
2017-2018,63,11,5256,Pleasantville,61,14,10,22,0,5,10,0,0,0
2017-2018,76,05,5283,Pocahontas Area,57,2,11,22,2,0,15,0,3,2
2017-2018,03,01,5310,Postville,50,1,6,18,0,2,23,0,0,0
2017-2018,94,05,5325,Prairie Valley,75,5,9,38,6,0,16,0,1,0
2017-2018,69,13,5463,Red Oak,67,8,9,29,0,3,11,0,4,3
2017-2018,75,12,5486,Remsen-Union,,,,,,,,,,
2017-2018,45,01,5508,Riceville,28,0,8,12,0,1,5,0,1,1
2017-2018,78,13,5510,Riverside,35,1,11,14,0,3,4,0,2,0
2017-2018,84,12,5607,Rock Valley,54,8,15,13,0,1,17,0,0,0
2017-2018,85,11,5643,Roland-Story,78,15,18,25,0,2,11,0,1,6
2017-2018,34,07,5697,Rudd-Rockford-Marble Rk,47,7,8,23,0,0,5,0,4,0
2017-2018,74,05,5724,Ruthven-Ayrshire,13,1,2,7,0,0,3,0,0,0
2017-2018,66,07,5751,St Ansgar,51,3,11,31,2,1,2,0,1,0
2017-2018,77,11,5805,Saydel,99,10,18,30,1,2,13,0,6,19
2017-2018,81,05,5823,Schaller-Crestland,,,,,,,,,,
2017-2018,24,12,5832,Schleswig,,,,,,,,,,
2017-2018,97,12,5877,Sergeant Bluff-Luton,111,17,41,37,0,2,7,0,1,6
2017-2018,93,15,5895,Seymour,14,5,3,5,0,0,1,0,0,0
2017-2018,17,07,5922,West Fork CSD,54,9,8,28,0,1,5,0,3,0
2017-2018,71,12,5949,Sheldon,77,10,20,35,1,1,10,0,0,0
2017-2018,73,13,5976,Shenandoah,79,9,23,20,0,2,22,0,3,0
2017-2018,72,12,5994,Sibley-Ocheyedan,63,4,20,23,0,0,12,0,2,2
2017-2018,36,13,6003,Sidney,31,4,10,7,0,0,2,0,0,8
2017-2018,54,15,6012,Sigourney,47,5,5,21,1,2,10,1,0,2
2017-2018,84,12,6030,Sioux Center,81,27,24,8,5,0,13,0,4,0
2017-2018,11,05,6035,Sioux Central,59,11,10,32,0,0,5,0,1,0
2017-2018,97,12,6039,Sioux City,873,85,280,259,6,29,85,0,32,97
2017-2018,13,05,6091,South Central Calhoun,66,8,21,28,0,1,5,0,3,0
2017-2018,52,10,6093,Solon,108,19,37,31,4,0,2,0,3,12
2017-2018,91,11,6094,Southeast Warren,38,5,3,14,0,3,9,0,2,2
2017-2018,40,05,6095,South Hamilton,59,3,21,22,0,5,4,0,1,3
2017-2018,94,05,6096,Southeast Webster Grand,,,,,,,,,,
2017-2018,73,13,6097,South Page,10,1,2,6,0,0,1,0,0,0
2017-2018,86,07,6098,South Tama County,118,13,17,42,0,2,37,0,4,3
2017-2018,71,12,6099,South O'Brien,45,6,14,10,0,0,10,0,0,5
2017-2018,96,01,6100,South Winneshiek,52,11,9,27,0,0,3,0,2,0
2017-2018,77,11,6101,Southeast Polk,476,49,144,145,0,9,78,1,5,45
2017-2018,21,05,6102,Spencer,142,10,56,43,3,0,24,0,2,4
2017-2018,30,05,6120,Spirit Lake,104,9,48,23,0,1,13,0,2,8
2017-2018,57,10,6138,Springville,31,3,10,14,0,1,2,0,0,1
2017-2018,69,13,6165,Stanton,15,1,2,10,0,1,1,0,0,0
2017-2018,33,01,6175,Starmont,48,4,10,23,0,0,3,0,0,8
2017-2018,11,05,6219,Storm Lake,173,27,31,59,2,3,47,0,4,0
2017-2018,40,05,6246,Stratford,,,,,,,,,,
2017-2018,39,11,6264,West Central Valley,50,8,5,22,0,3,10,0,2,0
2017-2018,09,07,6273,Sumner-Fredericksburg,39,3,10,19,0,1,3,0,1,2
2017-2018,16,10,6408,Tipton,62,0,27,19,0,2,12,0,0,2
2017-2018,78,13,6453,Treynor,43,6,22,11,0,1,2,0,0,1
2017-2018,78,13,6460,Tri-Center,48,7,18,16,0,1,4,1,1,0
2017-2018,54,15,6462,Tri-County,27,2,7,12,0,0,3,0,3,0
2017-2018,09,07,6471,Tripoli,40,3,8,21,0,1,6,0,1,0
2017-2018,96,01,6509,Turkey Valley,32,3,6,17,0,1,4,0,1,0
2017-2018,63,11,6512,Twin Cedars,22,0,3,15,0,0,3,0,1,0
2017-2018,46,05,6516,Twin Rivers,,,,,,,,,,
2017-2018,78,13,6534,Underwood,64,10,25,23,0,1,3,0,1,1
2017-2018,07,07,6536,Union,73,5,24,33,0,3,4,0,0,4
2017-2018,08,11,6561,United,,,,,,,,,,
2017-2018,77,11,6579,Urbandale,291,36,97,110,1,7,29,0,4,7
2017-2018,33,01,6591,Valley,,,,,,,,,,
2017-2018,89,15,6592,Van Buren,64,0,7,39,2,0,11,0,3,2
2017-2018,25,11,6615,Van Meter,63,16,16,17,0,1,11,0,2,0
2017-2018,69,13,6651,Villisca,,,,,,,,,,
2017-2018,06,10,6660,Vinton-Shellsburg,108,8,19,48,4,1,12,0,4,12
2017-2018,44,15,6700,Waco,29,2,4,16,0,1,5,0,0,1
2017-2018,81,05,6741,East Sac County,69,6,17,26,0,3,16,0,1,0
2017-2018,58,15,6759,Wapello,53,7,12,23,0,0,3,0,2,6
2017-2018,09,07,6762,Wapsie Valley,52,8,12,25,0,0,5,0,1,1
2017-2018,92,10,6768,Washington,138,10,37,45,3,6,24,0,6,7
2017-2018,07,07,6795,Waterloo,648,29,176,256,2,19,62,0,13,91
2017-2018,25,11,6822,Waukee,605,78,307,128,2,5,60,0,17,8
2017-2018,09,07,6840,Waverly-Shell Rock,162,42,42,33,1,3,16,0,4,21
2017-2018,93,15,6854,Wayne,50,8,7,22,0,2,9,0,1,1
2017-2018,40,05,6867,Webster City,117,6,21,62,0,0,23,1,2,2
2017-2018,74,05,6921,West Bend-Mallard,27,0,9,10,0,1,6,0,1,0
2017-2018,16,10,6930,West Branch,57,12,24,18,0,0,3,0,0,0
2017-2018,29,15,6937,West Burlington Ind,59,7,5,34,0,2,9,0,2,0
2017-2018,33,01,6943,West Central,17,3,3,7,0,0,4,0,0,0
2017-2018,28,01,6950,West Delaware County,111,19,30,35,0,2,16,0,3,6
2017-2018,77,11,6957,West Des Moines,677,81,285,207,1,13,28,1,11,50
2017-2018,31,01,6961,Western Dubuque,314,41,109,78,0,3,62,0,2,19
2017-2018,43,13,6969,West Harrison,28,0,4,15,0,1,6,0,0,2
2017-2018,70,09,6975,West Liberty,98,3,26,52,1,0,9,0,2,5
2017-2018,60,12,6983,West Lyon,60,12,17,21,0,2,5,0,1,2
2017-2018,64,07,6985,West Marshall,67,2,19,36,0,1,3,0,5,1
2017-2018,67,12,6987,West Monona,32,3,8,14,1,1,1,0,1,3
2017-2018,84,12,6990,West Sioux,45,10,10,14,0,1,10,0,0,0
2017-2018,97,12,6992,Westwood,40,5,12,14,0,0,4,0,4,1
2017-2018,67,12,7002,Whiting,13,0,3,7,0,0,1,0,0,2
2017-2018,48,10,7029,Williamsburg,99,15,32,40,0,0,11,0,0,1
2017-2018,70,09,7038,Wilton,56,8,11,23,0,0,2,0,7,5
2017-2018,44,15,7047,Winfield-Mt Union,37,3,2,25,1,2,3,0,1,0
2017-2018,61,11,7056,Winterset,123,12,35,37,0,0,18,0,6,15
2017-2018,43,13,7092,Woodbine,21,3,5,7,0,0,5,0,0,1
2017-2018,97,12,7098,Woodbury Central,44,4,17,12,0,0,9,0,2,0
2017-2018,25,11,7110,Woodward-Granger,81,5,17,38,1,0,13,0,3,4
2016-2017,75,12,0063,Akron Westfield Comm School District,49,5,25,10,0,2,4,0,2,1
2016-2017,11,05,0072,Albert City-Truesdale Comm School District,,,,,,,,,,
2016-2017,68,15,0081,Albia Comm School District,85,13,14,44,0,3,5,0,2,4
2016-2017,57,10,0099,Alburnett Comm School District,38,3,9,19,1,0,6,0,0,0
2016-2017,42,07,0108,Alden Comm School District,,,,,,,,,,
2016-2017,55,05,0126,Algona Comm School District,103,13,19,41,0,2,14,0,3,11
2016-2017,03,01,0135,Allamakee Comm School District,98,7,37,38,0,0,14,0,1,1
2016-2017,12,07,0153,North Butler Comm School District,37,6,6,17,0,0,7,0,1,0
2016-2017,11,05,0171,Alta Comm School District,41,8,16,11,0,2,1,0,0,3
2016-2017,85,11,0225,Ames Comm School District,279,31,155,52,1,5,0,0,5,30
2016-2017,53,10,0234,Anamosa Comm School District,83,9,17,25,0,3,20,0,3,6
2016-2017,49,09,0243,Andrew Comm School District,,,,,,,,,,
2016-2017,77,11,0261,Ankeny Comm School District,671,85,314,172,4,10,35,0,14,37
2016-2017,12,07,0279,Aplington-Parkersburg Comm School District,64,10,11,26,0,3,9,1,1,3
2016-2017,32,05,0333,North Union Comm School District,50,7,10,22,0,1,4,0,2,4
2016-2017,24,12,0355,Ar-We-Va Comm School District,17,4,4,6,0,0,2,0,1,0
2016-2017,15,13,0387,Atlantic Comm School District,105,8,31,33,0,8,18,0,7,0
2016-2017,05,11,0414,Audubon Comm School District,37,4,13,14,1,0,4,0,1,0
2016-2017,18,12,0423,Aurelia Comm School District,,,,,,,,,,
2016-2017,78,13,0441,AHSTW Comm School District,57,8,16,17,1,2,12,0,1,0
